allbus_p,allbus_forecast_p
6488.601402,6553.487416
6814.276845,6814.276845
6654.283387,6853.911889
6905.664371,6974.721015
7034.962077,7246.010939
7108.013494,6965.853224
7385.015312,7385.015312
7744.979625,7512.630236
7663.649181,7433.739706
7663.649181,7587.012689
6959.020511,6750.249896
6768.556197,6768.556197
6669.67166,6669.67166
6452.740126,6388.212725
6602.406518,6800.478714
6626.761811,6560.494193
7121.485544,7335.13011
7746.81596,7824.28412
8101.380188,8101.380188
8302.677825,8053.59749
8876.88066,8788.111853
9051.636271,9323.185359
9149.99302,8966.99316
9171.67162,9079.954904
9426.709026,9520.976116
9420.428356,9703.041207
8842.338764,9107.608927
8899.711363,8899.711363
8808.145529,8631.982618
8732.173572,8819.495308
8437.915555,8184.778088
8766.713619,8766.713619
9112.956181,9112.956181
9235.201738,9512.25779
9237.957399,8960.818677
9740.924347,10033.15208
10099.2152,10200.20735
10514.65891,10830.09868
10743.27297,10743.27297
10892.64827,11001.57475
10679.76881,10893.36419
10450.90951,10659.9277
10131.74588,10435.69826
10008.98532,9808.805614
10139.70082,10443.89184
9973.737849,10173.21261
9638.670181,9735.056883
9370.521623,9464.226839
9235.274412,9327.627156
8951.425832,8682.883057
9078.16584,9078.16584
9091.310768,9364.050091
9085.093634,9085.093634
9172.30789,9080.584811
9464.278811,9274.993235
9435.692855,9718.763641
9221.045385,9036.624477
9183.047067,8999.386126
8997.323927,9087.297166
8779.792145,8691.994224
8461.536762,8715.382865
8801.07519,8889.085942
8904.102719,8726.020665
8882.072359,8970.893083
9106.373225,8924.245761
9110.198823,8927.994847
9506.982626,9411.9128
9597.524875,9885.450621
9720.380726,9525.973111
9654.526673,9847.617206
9192.469593,9192.469593
8861.751858,9038.986895
8924.044419,8656.323086
8339.430825,8589.61375
8337.167828,8087.052793
8000.386139,7840.378416
7341.90784,7121.650605
7170.500477,7313.910487
7395.666426,7395.666426
7755.806859,7678.24879
7882.981886,7882.981886
7480.460864,7704.87469
6986.868525,7126.605896
6670.306726,6670.306726
6672.498278,6872.673226
6516.667061,6321.167049
6437.846757,6244.711354
6438.105172,6631.248327
6148.76293,6148.76293
5955.197358,6014.749332
5560.498087,5504.893106
5284.941415,5443.489657
4904.893582,4953.942518
4624.818305,4624.818305
4361.425356,4274.196849
4271.843308,4399.998607
4336.332893,4379.696222
4513.838801,4423.562025
4479.203427,4613.57953
4380.962095,4380.962095
4047.908644,3926.471385
3805.627202,3881.739746
3669.065794,3669.065794
3768.488223,3806.173105
4014.166399,3974.024735
4213.214598,4128.950306
4372.812627,4416.540753
4425.377893,4381.124114
4329.760982,4329.760982
4440.278859,4573.487225
4618.832856,4572.644527
4946.692923,4847.759065
5131.697516,5234.331466
4964.858982,5113.804751
4791.2762,4935.014486
4785.597907,4785.597907
4682.187254,4541.721636
4777.815583,4777.815583
4867.881819,4721.845364
4968.025933,4968.025933
5028.949119,4878.080645
5163.026303,5214.656566
5099.872042,5099.872042
4755.275656,4802.828413
4207.276118,4081.057834
3808.876831,3923.143136
3808.876831,3923.143136
3227.832802,3292.389458
3141.397678,3047.155748
3141.397678,3047.155748
2930.33432,2871.727634
2736.043105,2681.322243
2593.024507,2515.233772
2519.871689,2545.070406
2293.464999,2293.464999
2309.164859,2309.164859
2156.612643,2178.178769
2096.138229,2075.176847
2036.34302,1995.61616
1990.272798,2010.175526
2101.050981,2164.08251
2188.468153,2122.814108
2328.749898,2328.749898
2557.374649,2557.374649
2557.374649,2531.800903
2557.374649,2557.374649
2520.012525,2545.21265
2492.13862,2467.217234
2468.851793,2493.540311
2117.595754,2075.243839
1892.88318,1949.669675
1673.223873,1723.420589
1814.787333,1869.230953
1830.816341,1830.816341
1818.998131,1764.428187
1876.913451,1876.913451
1911.995491,1892.875536
1837.049332,1892.160812
1655.030055,1704.680957
1579.637658,1532.248528
1550.583675,1550.583675
1644.568401,1661.014085
1791.06633,1737.33434
1975.717609,1955.960433
2104.450463,2083.405958
2197.093165,2153.151302
2075.469417,2075.469417
2078.298702,2099.081689
2090.321372,2048.514945
2095.037399,2095.037399
2080.053322,2017.651722
2232.34456,2210.021114
2371.637933,2347.921554
2490.262082,2490.262082
2602.644776,2524.565433
2836.669071,2893.402452
2955.147442,2925.595968
2755.61807,2700.505709
2395.560093,2419.515694
2070.713713,2050.006576
2074.403184,2136.63528
1950.447008,2008.960418
1835.692098,1817.335177
1801.998577,1765.958605
1683.463834,1666.629196
1630.757552,1630.757552
1748.420045,1695.967444
1695.236011,1678.283651
1642.720317,1609.865911
1584.667851,1568.821172
1540.168967,1586.374036
1533.132019,1487.138058
1487.39667,1487.39667
1473.249302,1517.446781
1428.431269,1471.284207
1428.431269,1385.578331
1428.431269,1471.284207
1462.519926,1477.145125
1470.481916,1426.367459
1427.434449,1455.983138
1450.728192,1479.742756
1523.04017,1553.500973
1566.01906,1550.358869
1638.183617,1638.183617
1684.015169,1734.535624
1772.088725,1754.367838
1846.931117,1791.523183
1897.208396,1954.124648
2013.599468,1993.463473
2064.282875,2022.997217
2182.964818,2182.964818
2307.256999,2238.039289
2476.242487,2550.529762
2614.872511,2693.318686
2694.658343,2613.818593
2878.884156,2965.250681
2925.319674,2896.066477
2853.114254,2910.176539
2786.947315,2814.816788
2708.107139,2762.269282
2723.136691,2723.136691
2700.488118,2727.492999
2649.900857,2649.900857
2697.357578,2643.410426
2831.226803,2916.163607
3052.691057,3052.691057
3232.500649,3167.850636
3339.255609,3406.040721
3325.037831,3325.037831
3336.880073,3270.142472
3381.912185,3415.731307
3529.817678,3565.115855
3610.931943,3683.150582
3792.705059,3830.63211
3910.850561,3989.067572
3971.938035,3852.779894
3999.581467,3919.589838
3861.020942,3783.800523
3657.684554,3547.954017
3651.691839,3578.658002
3828.894342,3714.027512
4167.352532,4250.699583
4551.837013,4688.392123
5022.304257,4972.081214
5475.764711,5640.037652
5741.179078,5626.355496
5993.673371,5873.799904
6500.906902,6500.906902
6737.210426,6535.094113
7051.594364,7122.110308
7298.954377,7517.923008
7911.794212,7832.67627
8230.089285,8065.487499
8382.293848,8466.116786
8158.494883,8403.249729
7931.583744,7772.952069
7752.474495,7907.523985
7790.713004,7946.527264
7868.1658,7710.802484
8118.945795,8118.945795
8337.276362,8087.158071
8610.462911,8696.56754
8814.694469,9079.135303
8888.062435,9065.823684
9181.218649,8997.594276
9379.209878,9379.209878
9518.23726,9327.872515
9648.850652,9648.850652
9812.143191,9812.143191
9649.280593,9745.773399
9800.61128,9506.592942
9624.442947,9335.709659
9161.599202,9344.831186
8981.356858,8711.916152
8811.053138,8899.163669
8805.251861,8981.356898
8489.427007,8319.638467
8201.46117,8447.505005
7866.846252,7788.177789
7719.161966,7796.353586
