1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
73921.91745,73905.52312,74055.58962,73888.36311,74082.39362,74082.39362,74082.39362,72794.65282,71121.29563,71818.97589,70390.25188,69650.5558,68868.38754,68280.63818,66722.44914,66877.01296
65768.14933,67091.9404,67054.39506,66078.44786,65961.93318,65474.79774,65700.34037,64285.0943,63922.35605,64248.07233,64300.89361,63657.79983,64026.45529,63341.33878,62732.31504,62636.59456
62696.91953,63273.4146,62823.34731,63056.56564,63609.46328,64040.49737,65165.83505,66107.78178,66973.64706,68156.75262,68591.25949,67967.42922,68287.35139,68087.12516,68632.32956,69043.10055
67325.30589,66696.12198,66741.23255,66897.23264,65995.39825,65774.69054,65625.03032,65061.75576,65403.84207,64333.31872,64537.45634,64049.94659,62945.19426,61907.24475,59850.97827,58876.94428
58774.56238,60281.45702,60249.69907,61919.92329,62073.34948,63310.68965,63989.7663,64278.72484,64155.65482,64720.34154,64862.12853,65738.77568,66391.74882,66428.51923,67831.51315,68764.53606
69721.62519,70593.98329,70839.89021,70503.87432,69724.28797,69895.78447,70525.36601,72072.64826,72232.57967,72843.81108,73910.80938,74669.17591,74965.36078,74977.43516,74815.23829,74780.5842
74424.97397,74520.44225,73623.41788,73766.34641,73618.71558,74623.84248,73088.73744,72741.07799,73329.24444,72826.01162,71709.47628,70881.63824,69944.11334,68789.99512,67499.40145,67526.19906
67586.71386,68686.58891,68209.04241,67854.29432,67832.24493,66989.97397,66833.53101,67513.35676,66486.98426,66546.75424,66900.64422,66145.33461,65636.33685,65339.20023,65125.71598,64872.38888
65853.14947,65145.57391,65560.82103,65576.05133,65501.7146,66851.13266,67262.03146,67991.48464,69581.02767,70318.94031,69577.36771,68707.85378,67779.64817,68129.72956,66395.80193,67161.62088
63954.46852,63655.0456,63848.14046,63644.52826,63343.73763,62669.5716,62331.10185,61977.08613,61865.551,61843.12962,61237.4817,59615.81785,58406.28273,57427.20163,55100.00578,54594.23239
55242.69536,56164.44383,57224.19059,57840.70187,58729.43659,58658.29937,59168.34863,59430.9094,60061.3008,60531.36389,60978.31924,62143.91648,62687.53787,63510.41951,64712.49079,65175.84295
66742.35355,67708.93056,68530.43768,68843.76842,68668.4038,69028.88232,69350.89687,70216.64007,70690.46431,71346.73937,72209.75788,72609.31416,72580.37765,72034.67412,72396.76108,71326.96148
71326.96148,71758.07712,70548.88499,71257.91901,70883.63993,71485.87658,71220.83059,70682.73404,69403.22428,70006.24084,69449.13717,68443.15625,67498.13004,66711.66959,65424.62872,65193.3114
64627.42628,64823.86329,65298.60251,65063.10946,64641.66131,64442.01125,63458.59414,63265.98761,63028.2414,62388.18712,62044.45043,61852.58639,62059.48772,61143.11413,61867.68885,61124.46775
60960.14305,60943.49608,60745.30527,60541.83519,54373.6968,61659.98682,61594.09234,63014.51467,62972.8581,63720.8195,63331.25112,63109.24757,62323.50509,62454.22147,62410.83111,62133.6253
60975.95173,58718.56742,58467.5061,58611.68934,57764.83642,57830.27675,57341.99616,57410.32487,56810.04356,57995.05929,57437.99585,56985.5347,55689.80447,54382.48601,53719.88443,51728.59253
