1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Cluster
54175.09453,51666.01752,50919.92103,51030.71259,51139.45024,50924.08347,50735.46167,50318.62997,49851.82461,49742.70198,49563.73608,49067.49548,48151.26783,47105.97166,46222.65981,45042.84285,2
57370.98084,57597.42145,57609.00552,57620.6269,57903.47619,58298.1709,58891.06184,59440.35251,59236.03184,59439.02867,58725.46877,58108.18581,57093.44385,56773.82537,56114.9585,55908.28672,2
49992.70411,51025.5751,51438.62253,52219.82204,52299.45015,52924.55043,53174.84132,53226.66537,53516.92793,54345.83151,54804.21704,55258.43485,56235.39953,56795.2088,57989.53262,58911.89809,2
62664.36361,62664.36361,63541.94934,63354.14223,62937.45513,62587.94915,62321.86751,61957.51563,61408.81496,61303.18332,60829.33628,61136.85113,60672.99848,60106.14664,60088.23252,59588.59948,2
58993.58936,60043.10766,60559.78066,60816.30475,60532.33841,60319.44889,59989.22292,59446.43835,59541.79924,59294.38901,59316.81772,59141.20186,58887.23584,59025.50704,59011.21298,58828.74727,2
55747.87834,56702.62349,57735.70297,58793.72494,59543.04651,60694.63948,61739.73766,62497.16274,63384.62006,63830.48379,64819.96786,65624.69731,66326.47512,67169.55152,68011.49158,68963.2891,2
59530.95718,58759.37687,58985.46432,58484.05083,58742.89676,59121.67216,58753.57208,59025.17644,58825.38746,59016.97859,59072.03986,58243.86809,56962.97775,56370.27185,54490.67749,53935.52136,2
65753.506,60864.07627,61089.70236,61027.69972,61092.38989,61917.11873,62138.26855,62138.26855,62138.26855,64302.15771,64485.75992,64313.35898,63949.38074,63766.80042,63190.57398,62954.95687,2
59571.33057,59316.67866,59406.15568,59552.96177,59746.69652,60599.27115,60792.90739,61823.45002,62781.83929,63848.53076,64259.9433,64882.45278,65276.14668,66043.22056,67048.66048,68281.27275,2
63194.71742,62876.77376,63231.41876,62832.24477,63363.79903,63145.39254,63007.33399,62280.76854,61887.73665,62240.07406,61426.33859,60766.78882,59034.02909,58123.3478,55878.54944,55238.60667,2
55151.69056,55812.17573,56648.84946,57704.23981,58330.06127,59110.73884,59788.74047,60274.73051,60701.65202,61267.07193,62000.46827,61849.13471,62920.77416,65209.62662,66002.29488,67483.57554,2
52499.80271,52814.58756,53454.3896,53853.10599,54553.01428,54959.13328,55484.59273,55442.6013,55748.0295,55967.64766,55967.64766,56880.23717,57748.72333,58797.16672,59496.49434,60846.00356,2
53201.34885,53042.66347,53459.98074,53693.44483,53576.88866,53527.67056,53173.98441,52676.80472,51895.67632,51895.67632,51895.67632,50528.72055,49979.84074,49708.82533,49118.58763,48911.04147,2
63646.22031,62317.02018,61986.49288,61937.97097,61984.42674,62189.34426,61772.12629,61907.62415,61256.21023,61726.10011,61289.01011,60746.57336,59714.25034,58554.78222,57046.03287,55978.79102,2
45635.05072,47491.59449,48773.335,49663.26012,50022.54634,50710.36915,51492.82237,52058.10227,52276.34975,52105.4927,52793.02035,53429.26174,54276.82827,54147.67992,54026.68229,53667.07071,2
57854.86724,58679.28433,58440.17155,58310.14493,58056.7443,57986.95177,57808.5807,57659.54818,57388.86551,56794.52081,56940.81675,56894.13085,56559.21377,56859.06176,56675.97437,56536.00542,2
64632.8448,65075.70492,64383.31992,64310.96175,64198.70811,64025.53091,63118.32411,62072.90243,61716.86,61504.8791,60272.19296,59358.09487,58491.94044,57884.92076,57280.25842,56989.83496,2
60387.58063,61093.41933,61693.85981,62282.76777,61820.53985,61756.45128,62017.05787,62303.97033,62818.81018,63415.86073,64007.22043,64407.81734,64419.04673,64523.27466,64910.89175,64710.5794,2
54592.35953,54890.1822,55237.51575,55202.4022,55511.37975,55785.4927,56059.7136,56184.21734,55973.22428,56157.26327,56410.79656,56552.83953,57237.72984,57999.8411,58567.06852,58751.63761,2
57284.87655,56935.50062,56739.36241,57260.6387,57745.6325,57992.00461,57596.59719,57548.31683,57593.11715,58038.37573,57645.22565,57552.58392,56800.84996,56883.36373,55515.87452,54882.257,2
57765.57935,57743.24397,57742.10343,57188.63919,57467.27274,57905.91234,58308.96635,58408.76336,59192.99976,60224.03871,60642.3082,60720.86686,60972.83099,60797.05207,60783.28189,59978.52947,2
59862.44155,60476.72577,60692.84473,60264.33579,59755.52114,59420.65423,58852.9745,58486.50324,58759.01259,58144.35378,58200.17675,58267.94602,58184.13786,58117.34928,58010.51336,57882.40535,2
56536.00542,56775.35154,57122.93313,57122.93313,57176.88641,57882.19989,58961.40528,59700.99374,61597.87031,63674.41648,64166.17614,64978.4204,65080.53997,66000.17708,67134.17507,68286.06993,2
62644.99276,62059.79061,62441.45974,62683.74229,62555.70053,62216.97744,62192.47837,61899.36251,61821.65147,61722.72724,61288.88432,60131.85553,58365.09179,56881.63644,53903.69675,52891.64322,2
97193.7424,97073.86953,97424.77728,97448.27421,97414.03576,97465.84986,97597.32229,96471.40219,96058.95402,96058.95402,93798.17817,92176.45779,90879.11963,89677.55944,88522.7777,87629.49743,3
94736.77018,95863.673,97102.4372,97844.98295,98547.62328,99400.19775,98862.27154,99033.34427,98899.97775,99318.38758,99532.29265,99463.38746,99221.10812,99600.28132,99770.32394,99548.93484,3
83668.79131,84903.09094,86996.27773,89151.11402,91318.59665,92740.49921,93586.06723,94910.61319,94732.8605,95217.24388,95918.08156,95672.24724,94849.91612,94775.32079,94449.9726,93670.32191,3
97748.35797,97920.91482,97945.865,97909.47054,97929.22999,97150.9752,96171.91698,95351.05177,95093.70334,94042.67272,92951.36106,91707.34114,90159.39233,88683.87296,87472.24183,86825.48378,3
97697.67543,97921.8434,97841.42908,97265.1006,94941.76619,94206.86937,93935.15757,94465.41437,94786.8587,95168.41772,95124.92591,95561.62778,96296.49264,96976.17098,97384.89668,97670.57774,3
88260.12653,89458.75014,90422.20907,91059.04907,91385.3801,91996.07865,91943.33238,92546.952,92964.92357,93416.6969,94389.57363,94826.73071,95489.55973,96464.98258,97216.21684,97795.65147,3
82564.64239,84009.02888,84550.95628,85592.05369,87059.95551,88040.57126,88671.81855,89488.56214,90012.70554,90568.16438,90480.7229,90246.64439,89505.63921,89071.38432,89071.38432,89071.38432,3
99045.20159,98874.69191,98620.00276,98016.23356,96539.13992,94122.02115,94214.40314,93411.35034,93730.58831,93646.54769,93928.031,94123.99297,94689.82793,95894.23528,97128.79247,97278.18573,3
91778.03934,91836.16865,91815.13849,91938.60595,91305.55944,91265.96669,90823.50681,90177.0774,89378.04561,88838.35139,87225.6415,85623.7195,84183.38041,83289.36261,82334.93331,81648.7167,3
89177.67694,90072.97166,90926.12515,91671.48746,90562.00426,89654.69828,89409.44553,89923.90248,90064.82169,90640.50554,90640.50554,90327.94832,89627.20332,90039.07613,91193.24581,91836.9715,3
74067.68392,73669.11171,73650.62537,73275.51959,72999.6958,73001.53913,72331.40328,71958.05753,71600.95482,71425.73882,71319.23791,70457.69559,69665.74306,68847.73819,67803.18259,67592.59184,4
67181.12992,67423.15829,67355.20366,67942.93895,68290.4114,68869.76136,68962.98541,69046.81965,69234.03811,69673.22197,69831.54056,69668.74886,69904.36373,70763.29601,71230.4966,72096.49711,4
64523.05947,65228.41266,65644.21602,65554.60606,65656.01262,66280.14021,67228.45048,67664.77601,68385.11685,69073.95938,69748.11257,69691.34117,70077.98575,70823.43007,71524.47577,72602.95731,4
66025.34469,66720.85941,67010.29464,66716.17561,66259.0823,66313.2705,65836.10692,65613.14542,65314.59595,65189.64372,65383.72976,65265.57287,64837.31685,64968.70341,64566.20253,64493.85718,4
73696.25777,73318.08885,73427.88268,73394.71193,73092.70201,73018.07263,72126.55576,71177.73171,70706.16096,70707.40636,70396.37964,69301.06319,68542.73647,67215.20705,66240.96908,66170.88768,4
58726.45059,59309.18223,59972.66556,60739.35149,61113.73147,62721.54359,63120.05746,63715.61462,64093.0317,64764.11968,65173.90198,65806.23215,66657.01509,67042.8407,68553.07804,69746.1685,4
65265.53874,63925.98583,63722.94207,64095.56143,63763.30134,64076.32731,64169.27382,65167.85717,64733.09658,64781.04875,64803.48519,63866.34638,62824.42309,61624.76504,60763.71731,58756.62308,4
66270.01135,66288.78514,66551.65315,66420.0041,67433.20868,67860.39227,68186.78618,68071.48974,68205.78967,68010.51509,66896.11246,66896.11246,66099.2658,66099.2658,65287.77244,65938.6995,4
67521.44943,68262.36994,67840.07644,67875.02857,67430.70789,67235.32442,67233.6547,66765.18432,66761.58157,66734.73225,66302.65569,66111.8723,66026.73381,66387.36748,66309.56515,65912.98703,4
73037.60737,72931.46039,72646.43393,72800.00547,72512.3849,72406.9698,71736.38203,70640.82064,70727.45813,71142.08552,70228.10249,69606.46173,68529.79614,68206.22972,67840.5558,67145.43887,4
62227.38845,62832.78353,63333.01216,63992.26722,64865.1869,66082.89443,66767.01209,67435.1718,68233.69402,68823.11237,69017.40408,69782.9897,69951.12969,71011.57025,71773.64862,72527.18433,4
69207.06556,69648.48243,70234.84084,70683.43027,71052.63555,71737.74923,71950.61438,71565.83201,70743.65669,70677.30268,69739.55662,68536.73685,66694.62663,65855.60593,63082.7899,62222.55671,4
60552.60434,60590.54215,60852.20139,60976.18038,61276.33301,62257.85386,62898.94104,63751.55742,64581.83676,65453.36568,66049.18006,66666.83062,67568.40739,68278.38744,69040.11611,70292.23209,4
68734.00807,69003.64438,68670.93138,68393.8422,68462.49503,68008.38342,67061.04121,66038.04389,65674.31734,65971.33016,65577.32347,64740.69245,64400.13614,63578.32389,62536.77861,62304.29078,4
65467.85219,66540.00664,67875.59318,68669.36725,67689.64354,67158.04205,67529.92495,67613.77608,67546.49203,67803.89905,68050.18697,68111.63228,68514.08999,69065.6267,69202.75439,68753.06787,4
64500.23316,64241.48791,64693.9556,64931.31764,64425.24723,65182.63341,65436.79103,65289.02029,65351.11423,65242.19418,65008.49038,64439.76468,64380.3543,64483.87682,64084.87412,63611.1867,4
67389.32092,68411.62742,68200.21322,68259.87149,67747.17358,67160.72825,66762.65903,66686.73151,66270.15326,65809.33733,65710.04863,65307.81471,65075.77247,64978.11938,64551.82526,63878.80014,4
69992.94088,70623.49516,71640.21518,72492.49298,72280.37582,71334.96175,71916.44768,72252.73388,73102.08357,72869.51888,73165.84152,73479.3057,73889.63783,74637.64197,74743.09175,74422.67869,4
61029.94037,61693.51466,62588.3402,62737.13855,63298.93653,63448.06109,63204.97405,64054.57957,64696.14511,65421.35446,65466.37467,66281.40622,67262.79743,67262.79743,68282.03928,68819.27421,4
68630.89054,69661.33392,70388.79194,71413.5979,71989.75702,73414.94083,73222.12143,73525.47003,73631.09295,73370.62159,73711.77291,74159.70991,74489.00219,74639.89102,75210.52814,75902.96961,4
65620.96389,65626.97375,66006.67266,66242.90821,66882.85246,67255.43391,67402.21272,67252.93631,67785.64919,67579.64782,67085.20696,66556.67521,66850.25154,67099.66021,66986.02011,66740.64598,4
64209.38634,64385.88761,64488.59648,64708.38709,65244.00427,66589.8994,67505.38357,67919.05516,68552.98754,69209.74127,69464.13901,68794.2219,69689.90985,69760.45632,70109.27924,69782.94505,4
68663.53835,69188.51504,68969.63655,68503.62224,68605.39059,68274.94362,67949.48012,67608.38515,67315.88562,67153.52177,66187.78171,65181.45485,63430.76488,62140.72896,59548.23985,58884.42061,4
58888.30124,59295.49534,60235.72796,60565.39657,61633.93673,62617.69811,63666.46868,63973.60743,64697.98658,65362.38484,66174.94307,66973.76573,68402.15622,69736.19539,70348.69992,71255.03511,4
73814.47533,73203.2346,73258.5444,73268.71651,72958.52486,72888.84014,72665.11953,71997.44002,71243.75473,71571.40617,71143.49699,70195.18421,69354.97574,68489.7031,67242.25954,66618.43944,4
65740.31666,66447.72808,66376.81637,66236.11953,66317.71872,65898.67714,65389.19804,64848.91215,64489.1718,64445.21661,64292.46472,63875.79546,63521.48944,63349.54354,63372.04669,63115.96658,4
63077.92332,63250.15237,63107.96318,63821.40603,64191.99002,64880.70104,65777.14343,65939.63323,65939.63323,66405.93326,65644.9119,65055.26695,64111.39824,63991.16292,64235.42107,64442.26995,4
69869.44211,71108.9727,72177.56938,72494.47425,72061.84951,71185.42249,71615.16607,72080.94751,72214.47423,73002.23612,73238.69527,73616.27476,74392.46352,74791.65255,74400.74446,74293.65451,4
73665.09068,73399.97932,73718.35464,73521.14822,73258.60765,73082.39917,72431.1902,71805.46006,71524.49201,71233.9726,70431.6616,69743.59445,68929.63411,68356.73267,67521.13798,67043.13641,4
66962.22299,68127.14018,68002.132,67533.43484,67107.46104,66374.9515,66166.63559,65944.31575,65503.51639,64938.50454,64650.7641,64887.4209,64063.69173,63943.04402,63979.75979,63766.06607,4
